LSL,Harp
1211403.22406575,5068.15248
1211403.36610525,5068.293504
1211403.90118345,5068.829504
1211404.69498475,5069.622496
1211404.85597635,5069.783488
1211405.73203755,5070.66048
1211406.55797785,5071.485504
1211407.11512195,5072.043488
1211407.64702425,5072.575488
1211407.95907275,5072.887488
1211408.13102415,5073.059488
1211408.80894755,5073.73648
1211409.52190515,5074.449504
1211409.89696095,5074.82448
1211410.59082285,5075.518496
1211411.23291735,5076.16048
1211411.24185145,5076.169504
1211412.04786015,5076.975488
1211412.06493895,5076.99248
1211412.17185445,5077.099488
1211412.55784775,5077.485504
1211412.60186775,5077.529504
1211412.77183225,5077.699488
1211413.25983945,5078.187488
1211413.27379715,5078.201504
1211413.90674505,5078.834496
1211414.49089465,5079.419488
1211415.00590105,5079.934496
1211415.31013825,5080.237504
1211416.07270195,5081.00048
1211416.33777955,5081.265504
1211416.47471625,5081.402496
1211416.71685415,5081.64448
1211417.32374115,5082.251488
1211417.74772275,5082.675488
1211418.60873795,5083.53648
1211419.06974315,5083.997504
1211419.26669685,5084.194496
1211420.19468755,5085.122496
1211420.87065135,5085.798496
1211420.94670555,5085.874496
1211421.95411495,5086.881504
1211422.12578085,5087.053504
1211422.30470595,5087.23248
1211422.61269815,5087.54048
1211423.27459585,5088.202496
1211423.63457085,5088.562496
1211424.60457645,5089.53248
1211425.15276145,5090.08048
1211425.60358885,5090.531488
1211425.74058955,5090.66848
1211426.02263895,5090.950496
1211426.50058035,5091.42848
1211426.91555965,5091.843488
1211427.22753925,5092.155488
1211428.07050595,5092.998496
1211429.03857055,5093.967488
1211429.10152675,5094.029504
1211429.88147835,5094.809504
1211430.42057915,5095.34848
1211430.71459855,5095.643488
1211431.03665885,5095.965504
1211431.32247695,5096.250496
1211432.08657305,5097.015488
1211432.14853485,5097.07648
1211432.19449545,5097.122496
1211432.64149565,5097.569504
1211432.75146885,5097.679488
1211433.69951685,5098.627488
1211434.52253025,5099.450496
1211434.72537215,5099.653504
1211435.56544385,5100.493504
1211436.43541305,5101.363488
1211436.78744795,5101.715488
1211436.81936225,5101.747488
1211437.21846865,5102.146496
1211438.09238985,5103.02048
1211439.08747175,5104.015488
1211439.27539385,5104.20448
1211439.63838655,5104.566496
1211439.90232595,5104.830496
